時間戳記,OGS,KGS,DGS,IGS (pandanet パンダネット),Foxwq (野狐围棋),Tygem (with 奕城/棋城/東洋囲碁),WBaduk (with 新浪囲棋/幽玄の間),LGS (傳奇圍棋網),LKGS (烂柯围棋),INGO,GoQuest (囲碁クエスト),AGA,EGF ,Korea ,China,Japan,Taiwan
2020/3/23 下午 4:17:07,,,,,8d,8d,8d,,,,,,,,,,7d
2020/3/23 下午 4:23:20,,,,,7d,,,,,,,,,,,,6d
2020/3/23 下午 4:37:25,1d,2d,,,3d,3d,,,,,,,,,,,
2020/3/23 下午 5:14:34,,,,3d,5d,,,,,,,,,,,,5d
2020/3/23 下午 5:17:20,,,,,5d,,,,,,,,,,,,4d
2020/3/23 下午 5:27:18,,,,,7d,7d,,,,,2135,,,,,,6d
2020/3/23 下午 5:27:23,,,,,2d,,,,,,,,,,,,
2020/3/23 下午 5:28:01,,,,,7d,7d,,,,,2135,,,,,,6d
2020/3/23 下午 5:28:45,,,,,9d,,,,,,,,,,,,
2020/3/23 下午 5:49:52,,,,,4d,,,,,,,,,,,,5d
2020/3/23 下午 6:01:13,,1d,,,3d,2d,,,,,,,3k,,,,
2020/3/23 下午 6:12:39,,,,,5d,,6d,,,,,,,,,,6d
2020/3/23 下午 7:04:26,,4k,,8k,,,,,,,,5k,,,,,
2020/3/23 下午 7:06:40,,,,,1d,,,,,,,,,,,,
2020/3/23 下午 9:15:42,12k,,,14k,,,,,,,,,18k,,,,
2020/3/23 下午 10:25:40,,,,,6d,,,,,,,,,,,,6d
2020/3/23 下午 11:18:23,5k,2k,,,,1d,,,,,,,,,,,
2020/3/23 下午 11:51:45,,,,2d,4d,1d,,,,,,,,,,,5d
2020/3/23 下午 11:59:30,,,,,6d,,,,,,,,,,,,6d
2020/3/24 上午 4:46:16,6d,6d,,6d,8d,9d,,,,,,,,,,,6d
2020/3/24 上午 5:42:49,11k,,,10k,,,,,,,,,,,,,10k
2020/3/24 上午 6:07:59,,2d,,,6d,6d,,,,,,,2d,,,,
2020/3/24 上午 6:16:45,2d,,,5d,6d,6d,7d,,,,,,,,,,4d
2020/3/24 上午 6:19:04,,,,,,,7d,,,,,,,,,,6d
2020/3/24 上午 6:30:53,,,,,,7d,,,,,,,,,,,
2020/3/24 上午 6:32:14,5d,,,,,7d,,,,,,,,,,,6d
2020/3/24 上午 6:45:32,,,,7d,7d,,,,,,,,,,,,6d
2020/3/24 上午 7:26:37,19k,,,,,,,,,,,,,,,,
2020/3/24 上午 7:55:21,4d,,,,7d,6d,,,,,,,,,,,6d
2020/3/24 上午 8:22:37,10k,6k,,,1d,,,,,,,,,,,,
2020/3/24 上午 9:26:52,4k,,,,1d,1d,,,,,,,,,,,
2020/3/24 上午 11:38:35,,,,,,5d,,,,,2024,,,,,,4d
