Time Stamp,OGS,KGS,DGS,IGS,Foxwq,Tygem,WBaduk,GoQuest_rank,GoQuest_rating,AGA,EGF,Korea,China,Japan,Taiwan
2020/4/10 AM 5:40:25,3k,,,,,,,,,,2k,,,,
2020/4/13 AM 10:50:05,,,,,3k,,,,,,,,,,1d
2020/4/14 PM 1:57:34,13k,,,11k,11k,,,,,,,,,,
2020/4/16 PM 7:36:07,,,,6k,3k,,,,1630,,4k,,,,
2020/4/19 PM 2:36:56,,5k,,,,,,,,,,,,,
2020/4/19 PM 2:55:01,4k,1k,,,,,2d,,,,3k,,,,
2020/4/19 PM 2:56:33,1k,1k,,2k,1d,2k,,,,,,,,,
2020/4/19 PM 4:14:50,1k,1k,,1k,2d,1d,2d,,,,1k,,,,
2020/4/19 PM 5:06:49,21k,,,,,,,,,,,,,,
2020/4/19 PM 5:22:10,3k,1k,,4k,2d,2d,1k,,,,,,,,
2020/4/19 PM 5:32:02,,2k,,,,2d,,,,,3k,,,,
2020/4/19 PM 6:17:41,5k,1k,,5k,3k,2k,,,,,6k,,,,
2020/4/19 PM 6:41:11,5k,,,,,,,,,,4k,,,,
2020/4/19 PM 7:18:19,18k,15k,,,,,,,,,,,,,
2020/4/19 PM 10:01:03,13k,,,,,,,,,,,,,,
2020/4/19 PM 10:20:51,,1d,,1d,,,,,,2d,,,,,
2020/4/19 PM 10:45:09,5k,3k,,4k,,,,,,3k,,,,,
2020/4/19 PM 10:58:47,,,,4d,5d,,,,,,2d,,,,
2020/4/19 PM 11:03:08,12k,7k,8k,,,,,,,,,,,,
2020/4/20 AM 12:23:57,6d,7d,,6d,8d,9d,,,,8d,,,,,6d
2020/4/20 AM 9:07:03,,,,,,3d,,,,,,5k,,,
2020/4/20 PM 10:40:45,5k,1d,,,,1d,,,,,6k,,,,
2020/4/21 AM 3:18:36,5k,,,7k,,,,,,,5k,,,,
2020/4/21 AM 6:01:58,,,2d,3d,,4d,5d,,,,2k,,,,
2020/4/21 AM 6:30:20,,,,5k,4k,,,,,,,,,,1d
2020/4/23 AM 1:12:30,5k,3k,,,3k,,,,1617,5k,,,,,
2020/4/23 AM 1:33:29,2d,2d,,,,5d,,4d,,,2d,,,,
2020/4/23 AM 9:30:06,,,,,,,,,,,,,,,5d
2020/4/25 AM 1:25:07,,,,,9d,9d,9d,,,,,,5d,,
